Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
convnext,case1_original,kakao_high,svd,Folds_Mean ± SD,0.8399 ± 0.1065,0.7233 ± 0.1498,0.7784 ± 0.1009,0.6943 ± 0.1705,0.9133 ± 0.0380
convnext,case4_mixed,original,pika,Fold_1,0.7578,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,original,pika,Fold_2,0.9156,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,original,pika,Fold_3,0.7167,0.5,0.6591,0.5,0.9667
convnext,case4_mixed,original,pika,Fold_4,0.8278,0.5167,0.6506,0.5094,0.9
convnext,case4_mixed,original,pika,Fold_5,0.8011,0.6,0.7073,0.5577,0.9667
convnext,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.8633,0.55,0.6897,0.5263,1.0
convnext,case4_mixed,original,pika,Folds_Mean ± SD,0.8038 ± 0.0755,0.5333 ± 0.0391,0.6746 ± 0.0220,0.5186 ± 0.0227,0.9667 ± 0.0408
convnext,case4_mixed,original,runway,Fold_1,0.92,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,original,runway,Fold_2,0.8733,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,original,runway,Fold_3,0.7078,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,original,runway,Fold_4,0.8056,0.5167,0.6506,0.5094,0.9
convnext,case4_mixed,original,runway,Fold_5,0.7967,0.6167,0.7229,0.566,1.0
convnext,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.8922,0.55,0.6897,0.5263,1.0
convnext,case4_mixed,original,runway,Folds_Mean ± SD,0.8207 ± 0.0809,0.5400 ± 0.0435,0.6807 ± 0.0263,0.5219 ± 0.0249,0.9800 ± 0.0447
convnext,case4_mixed,original,svd,Fold_1,0.6989,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,original,svd,Fold_2,0.6178,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,original,svd,Fold_3,0.6856,0.5,0.6591,0.5,0.9667
convnext,case4_mixed,original,svd,Fold_4,0.6622,0.5333,0.6667,0.5185,0.9333
convnext,case4_mixed,original,svd,Fold_5,0.78,0.5833,0.6914,0.549,0.9333
convnext,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.7344,0.5333,0.6744,0.5179,0.9667
convnext,case4_mixed,original,svd,Folds_Mean ± SD,0.6889 ± 0.0595,0.5333 ± 0.0312,0.6746 ± 0.0126,0.5187 ± 0.0185,0.9667 ± 0.0333
convnext,case4_mixed,instagram,pika,Fold_1,0.7567,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,instagram,pika,Fold_2,0.9278,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,instagram,pika,Fold_3,0.6978,0.4833,0.6437,0.4912,0.9333
convnext,case4_mixed,instagram,pika,Fold_4,0.8,0.5167,0.6506,0.5094,0.9
convnext,case4_mixed,instagram,pika,Fold_5,0.7789,0.5833,0.6988,0.5472,0.9667
convnext,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.8544,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,instagram,pika,Folds_Mean ± SD,0.7922 ± 0.0848,0.5267 ± 0.0365,0.6698 ± 0.0227,0.5147 ± 0.0205,0.9600 ± 0.0435
convnext,case4_mixed,instagram,runway,Fold_1,0.8967,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,instagram,runway,Fold_2,0.8578,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,instagram,runway,Fold_3,0.6922,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,instagram,runway,Fold_4,0.7756,0.5167,0.6506,0.5094,0.9
convnext,case4_mixed,instagram,runway,Fold_5,0.7478,0.6,0.7143,0.5556,1.0
convnext,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.8711,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,instagram,runway,Folds_Mean ± SD,0.7940 ± 0.0828,0.5367 ± 0.0361,0.6790 ± 0.0229,0.5198 ± 0.0203,0.9800 ± 0.0447
convnext,case4_mixed,instagram,svd,Fold_1,0.69,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,instagram,svd,Fold_2,0.6267,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,instagram,svd,Fold_3,0.7006,0.5,0.6591,0.5,0.9667
convnext,case4_mixed,instagram,svd,Fold_4,0.67,0.5333,0.6667,0.5185,0.9333
convnext,case4_mixed,instagram,svd,Fold_5,0.7622,0.5833,0.6988,0.5472,0.9667
convnext,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.7211,0.5167,0.6667,0.5088,0.9667
convnext,case4_mixed,instagram,svd,Folds_Mean ± SD,0.6899 ± 0.0493,0.5333 ± 0.0312,0.6761 ± 0.0152,0.5183 ± 0.0178,0.9733 ± 0.0279
convnext,case4_mixed,kakao_normal,pika,Fold_1,0.76,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_normal,pika,Fold_2,0.9256,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_normal,pika,Fold_3,0.7111,0.5,0.6591,0.5,0.9667
convnext,case4_mixed,kakao_normal,pika,Fold_4,0.8289,0.5,0.6429,0.5,0.9
convnext,case4_mixed,kakao_normal,pika,Fold_5,0.8011,0.5833,0.6988,0.5472,0.9667
convnext,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8633,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.8053 ± 0.0806,0.5267 ± 0.0346,0.6713 ± 0.0214,0.5146 ± 0.0196,0.9667 ± 0.0408
convnext,case4_mixed,kakao_normal,runway,Fold_1,0.9078,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_normal,runway,Fold_2,0.8433,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_normal,runway,Fold_3,0.7033,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_normal,runway,Fold_4,0.78,0.5,0.6429,0.5,0.9
convnext,case4_mixed,kakao_normal,runway,Fold_5,0.7722,0.6,0.7143,0.5556,1.0
convnext,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.8811,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.8013 ± 0.0775,0.5333 ± 0.0391,0.6775 ± 0.0255,0.5179 ± 0.0219,0.9800 ± 0.0447
convnext,case4_mixed,kakao_normal,svd,Fold_1,0.6922,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_normal,svd,Fold_2,0.6156,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_normal,svd,Fold_3,0.7211,0.5,0.6591,0.5,0.9667
convnext,case4_mixed,kakao_normal,svd,Fold_4,0.6678,0.5167,0.6588,0.5091,0.9333
convnext,case4_mixed,kakao_normal,svd,Fold_5,0.7722,0.5833,0.6988,0.5472,0.9667
convnext,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.7378,0.5167,0.6667,0.5088,0.9667
convnext,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.6938 ± 0.0585,0.5300 ± 0.0321,0.6745 ± 0.0168,0.5164 ± 0.0183,0.9733 ± 0.0279
convnext,case4_mixed,kakao_high,pika,Fold_1,0.7667,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_high,pika,Fold_2,0.9211,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_high,pika,Fold_3,0.7156,0.5,0.6591,0.5,0.9667
convnext,case4_mixed,kakao_high,pika,Fold_4,0.8289,0.5,0.6429,0.5,0.9
convnext,case4_mixed,kakao_high,pika,Fold_5,0.7967,0.5833,0.6988,0.5472,0.9667
convnext,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.86,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.8058 ± 0.0768,0.5267 ± 0.0346,0.6713 ± 0.0214,0.5146 ± 0.0196,0.9667 ± 0.0408
convnext,case4_mixed,kakao_high,runway,Fold_1,0.9267,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_high,runway,Fold_2,0.8678,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_high,runway,Fold_3,0.7089,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_high,runway,Fold_4,0.8167,0.5,0.6429,0.5,0.9
convnext,case4_mixed,kakao_high,runway,Fold_5,0.7933,0.6,0.7143,0.5556,1.0
convnext,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.8911,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.8227 ± 0.0817,0.5333 ± 0.0391,0.6775 ± 0.0255,0.5179 ± 0.0219,0.9800 ± 0.0447
convnext,case4_mixed,kakao_high,svd,Fold_1,0.7044,0.5167,0.6742,0.5085,1.0
convnext,case4_mixed,kakao_high,svd,Fold_2,0.6167,0.5333,0.6818,0.5172,1.0
convnext,case4_mixed,kakao_high,svd,Fold_3,0.6989,0.5,0.6591,0.5,0.9667
convnext,case4_mixed,kakao_high,svd,Fold_4,0.6611,0.5167,0.6588,0.5091,0.9333
convnext,case4_mixed,kakao_high,svd,Fold_5,0.7756,0.5667,0.6829,0.5385,0.9333
convnext,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.7378,0.5167,0.6667,0.5088,0.9667
convnext,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.6913 ± 0.0588,0.5267 ± 0.0253,0.6714 ± 0.0118,0.5147 ± 0.0146,0.9667 ± 0.0333
swin,case1_original,original,pika,Fold_1,0.9044,0.8,0.8,0.8,0.8
swin,case1_original,original,pika,Fold_2,0.9344,0.8333,0.8214,0.8846,0.7667
swin,case1_original,original,pika,Fold_3,0.9344,0.8333,0.8214,0.8846,0.7667
swin,case1_original,original,pika,Fold_4,0.9567,0.8833,0.8852,0.871,0.9
swin,case1_original,original,pika,Fold_5,0.9267,0.8333,0.8276,0.8571,0.8
swin,case1_original,original,pika,Model_Ensemble (Soft Voting),0.9467,0.85,0.8475,0.8621,0.8333
swin,case1_original,original,pika,Folds_Mean ± SD,0.9313 ± 0.0187,0.8367 ± 0.0298,0.8311 ± 0.0320,0.8595 ± 0.0351,0.8067 ± 0.0548
swin,case1_original,original,runway,Fold_1,0.8533,0.75,0.7368,0.7778,0.7
swin,case1_original,original,runway,Fold_2,0.95,0.85,0.8421,0.8889,0.8
swin,case1_original,original,runway,Fold_3,0.9811,0.9333,0.9355,0.9062,0.9667
swin,case1_original,original,runway,Fold_4,0.95,0.8833,0.8852,0.871,0.9
swin,case1_original,original,runway,Fold_5,0.9167,0.8167,0.807,0.8519,0.7667
swin,case1_original,original,runway,Model_Ensemble (Soft Voting),0.9456,0.8667,0.8667,0.8667,0.8667
swin,case1_original,original,runway,Folds_Mean ± SD,0.9302 ± 0.0487,0.8467 ± 0.0691,0.8413 ± 0.0756,0.8591 ± 0.0498,0.8267 ± 0.1065
swin,case1_original,original,svd,Fold_1,0.9389,0.8833,0.8923,0.8286,0.9667
swin,case1_original,original,svd,Fold_2,0.9578,0.9167,0.918,0.9032,0.9333
swin,case1_original,original,svd,Fold_3,0.9367,0.8333,0.8214,0.8846,0.7667
swin,case1_original,original,svd,Fold_4,0.9222,0.85,0.8475,0.8621,0.8333
swin,case1_original,original,svd,Fold_5,0.9178,0.9,0.9032,0.875,0.9333
swin,case1_original,original,svd,Model_Ensemble (Soft Voting),0.9589,0.9,0.9032,0.875,0.9333
swin,case1_original,original,svd,Folds_Mean ± SD,0.9347 ± 0.0158,0.8767 ± 0.0346,0.8765 ± 0.0405,0.8707 ± 0.0279,0.8867 ± 0.0837
swin,case1_original,instagram,pika,Fold_1,0.8744,0.8167,0.8308,0.7714,0.9
swin,case1_original,instagram,pika,Fold_2,0.9,0.8167,0.8254,0.7879,0.8667
swin,case1_original,instagram,pika,Fold_3,0.9211,0.8667,0.871,0.8438,0.9
swin,case1_original,instagram,pika,Fold_4,0.9444,0.8333,0.8438,0.7941,0.9
swin,case1_original,instagram,pika,Fold_5,0.9111,0.8333,0.8387,0.8125,0.8667
swin,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.9267,0.85,0.8571,0.8182,0.9
swin,case1_original,instagram,pika,Folds_Mean ± SD,0.9102 ± 0.0259,0.8333 ± 0.0204,0.8419 ± 0.0177,0.8019 ± 0.0276,0.8867 ± 0.0183
swin,case1_original,instagram,runway,Fold_1,0.7933,0.7333,0.7333,0.7333,0.7333
swin,case1_original,instagram,runway,Fold_2,0.8733,0.7667,0.7667,0.7667,0.7667
swin,case1_original,instagram,runway,Fold_3,0.9611,0.9167,0.9231,0.8571,1.0
swin,case1_original,instagram,runway,Fold_4,0.9222,0.8333,0.8438,0.7941,0.9
swin,case1_original,instagram,runway,Fold_5,0.8867,0.8,0.8,0.8,0.8
swin,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.9078,0.8333,0.8387,0.8125,0.8667
swin,case1_original,instagram,runway,Folds_Mean ± SD,0.8873 ± 0.0626,0.8100 ± 0.0703,0.8134 ± 0.0737,0.7903 ± 0.0458,0.8400 ± 0.1090
swin,case1_original,instagram,svd,Fold_1,0.9133,0.85,0.8657,0.7838,0.9667
swin,case1_original,instagram,svd,Fold_2,0.9511,0.85,0.8615,0.8,0.9333
swin,case1_original,instagram,svd,Fold_3,0.8933,0.8,0.7931,0.8214,0.7667
swin,case1_original,instagram,svd,Fold_4,0.9067,0.8167,0.8254,0.7879,0.8667
swin,case1_original,instagram,svd,Fold_5,0.8933,0.85,0.8571,0.8182,0.9
swin,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.9322,0.8833,0.8923,0.8286,0.9667
swin,case1_original,instagram,svd,Folds_Mean ± SD,0.9116 ± 0.0237,0.8333 ± 0.0236,0.8406 ± 0.0309,0.8023 ± 0.0171,0.8867 ± 0.0767
swin,case1_original,kakao_normal,pika,Fold_1,0.9,0.8167,0.8254,0.7879,0.8667
swin,case1_original,kakao_normal,pika,Fold_2,0.9367,0.8333,0.8387,0.8125,0.8667
swin,case1_original,kakao_normal,pika,Fold_3,0.9389,0.85,0.8421,0.8889,0.8
swin,case1_original,kakao_normal,pika,Fold_4,0.9433,0.9,0.9,0.9,0.9
swin,case1_original,kakao_normal,pika,Fold_5,0.9278,0.85,0.8475,0.8621,0.8333
swin,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.9444,0.85,0.8525,0.8387,0.8667
swin,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.9293 ± 0.0173,0.8500 ± 0.0312,0.8507 ± 0.0287,0.8503 ± 0.0485,0.8533 ± 0.0380
swin,case1_original,kakao_normal,runway,Fold_1,0.8233,0.75,0.7458,0.7586,0.7333
swin,case1_original,kakao_normal,runway,Fold_2,0.9289,0.8,0.8,0.8,0.8
swin,case1_original,kakao_normal,runway,Fold_3,0.9744,0.9333,0.9355,0.9062,0.9667
swin,case1_original,kakao_normal,runway,Fold_4,0.9244,0.9,0.9,0.9,0.9
swin,case1_original,kakao_normal,runway,Fold_5,0.9033,0.8167,0.807,0.8519,0.7667
swin,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.9289,0.85,0.8525,0.8387,0.8667
swin,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.9109 ± 0.0554,0.8400 ± 0.0751,0.8377 ± 0.0779,0.8433 ± 0.0638,0.8333 ± 0.0972
swin,case1_original,kakao_normal,svd,Fold_1,0.9278,0.85,0.8615,0.8,0.9333
swin,case1_original,kakao_normal,svd,Fold_2,0.9533,0.8667,0.875,0.8235,0.9333
swin,case1_original,kakao_normal,svd,Fold_3,0.9167,0.8167,0.8,0.88,0.7333
swin,case1_original,kakao_normal,svd,Fold_4,0.9111,0.8333,0.8214,0.8846,0.7667
swin,case1_original,kakao_normal,svd,Fold_5,0.9067,0.8833,0.8852,0.871,0.9
swin,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.9422,0.8833,0.8889,0.8485,0.9333
swin,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.9231 ± 0.0186,0.8500 ± 0.0264,0.8486 ± 0.0364,0.8518 ± 0.0378,0.8533 ± 0.0960
swin,case1_original,kakao_high,pika,Fold_1,0.8967,0.8167,0.8197,0.8065,0.8333
swin,case1_original,kakao_high,pika,Fold_2,0.9333,0.8167,0.8136,0.8276,0.8
swin,case1_original,kakao_high,pika,Fold_3,0.9389,0.8333,0.8214,0.8846,0.7667
swin,case1_original,kakao_high,pika,Fold_4,0.9589,0.9,0.9,0.9,0.9
swin,case1_original,kakao_high,pika,Fold_5,0.9278,0.8333,0.8276,0.8571,0.8
swin,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.95,0.8667,0.8621,0.8929,0.8333
swin,case1_original,kakao_high,pika,Folds_Mean ± SD,0.9311 ± 0.0226,0.8400 ± 0.0346,0.8364 ± 0.0359,0.8552 ± 0.0388,0.8200 ± 0.0506
swin,case1_original,kakao_high,runway,Fold_1,0.8578,0.75,0.7368,0.7778,0.7
swin,case1_original,kakao_high,runway,Fold_2,0.9433,0.8167,0.8136,0.8276,0.8
swin,case1_original,kakao_high,runway,Fold_3,0.9844,0.9333,0.9355,0.9062,0.9667
swin,case1_original,kakao_high,runway,Fold_4,0.9478,0.9,0.9,0.9,0.9
swin,case1_original,kakao_high,runway,Fold_5,0.9189,0.8333,0.8276,0.8571,0.8
swin,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.9467,0.8833,0.8814,0.8966,0.8667
swin,case1_original,kakao_high,runway,Folds_Mean ± SD,0.9304 ± 0.0469,0.8467 ± 0.0721,0.8427 ± 0.0777,0.8538 ± 0.0533,0.8333 ± 0.1027
swin,case1_original,kakao_high,svd,Fold_1,0.9344,0.8833,0.8923,0.8286,0.9667
swin,case1_original,kakao_high,svd,Fold_2,0.9567,0.8833,0.8889,0.8485,0.9333
swin,case1_original,kakao_high,svd,Fold_3,0.9317,0.8333,0.8214,0.8846,0.7667
swin,case1_original,kakao_high,svd,Fold_4,0.9189,0.85,0.8421,0.8889,0.8
swin,case1_original,kakao_high,svd,Fold_5,0.9056,0.8833,0.8852,0.871,0.9
swin,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.9522,0.9167,0.918,0.9032,0.9333
swin,case1_original,kakao_high,svd,Folds_Mean ± SD,0.9294 ± 0.0191,0.8667 ± 0.0236,0.8660 ± 0.0322,0.8643 ± 0.0254,0.8733 ± 0.0863
swin,case4_mixed,original,pika,Fold_1,0.72,0.6,0.7143,0.5556,1.0
swin,case4_mixed,original,pika,Fold_2,0.77,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,original,pika,Fold_3,0.7878,0.5167,0.6667,0.5088,0.9667
swin,case4_mixed,original,pika,Fold_4,0.91,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,original,pika,Fold_5,0.8678,0.6167,0.7229,0.566,1.0
swin,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.8667,0.5667,0.6905,0.537,0.9667
swin,case4_mixed,original,pika,Folds_Mean ± SD,0.8111 ± 0.0767,0.5933 ± 0.0435,0.7072 ± 0.0229,0.5535 ± 0.0256,0.9800 ± 0.0183
swin,case4_mixed,original,runway,Fold_1,0.52,0.5333,0.65,0.52,0.8667
swin,case4_mixed,original,runway,Fold_2,0.6633,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,original,runway,Fold_3,0.7933,0.5333,0.6818,0.5172,1.0
swin,case4_mixed,original,runway,Fold_4,0.8467,0.6,0.7,0.56,0.9333
swin,case4_mixed,original,runway,Fold_5,0.7156,0.6,0.7073,0.5577,0.9667
swin,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.7489,0.5833,0.7059,0.5455,1.0
swin,case4_mixed,original,runway,Folds_Mean ± SD,0.7078 ± 0.1264,0.5767 ± 0.0401,0.6910 ± 0.0262,0.5447 ± 0.0242,0.9467 ± 0.0506
swin,case4_mixed,original,svd,Fold_1,0.7333,0.5833,0.6988,0.5472,0.9667
swin,case4_mixed,original,svd,Fold_2,0.81,0.6333,0.7317,0.5769,1.0
swin,case4_mixed,original,svd,Fold_3,0.7233,0.5167,0.6667,0.5088,0.9667
swin,case4_mixed,original,svd,Fold_4,0.8333,0.6333,0.7317,0.5769,1.0
swin,case4_mixed,original,svd,Fold_5,0.7878,0.6,0.7073,0.5577,0.9667
swin,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.8078,0.5833,0.7059,0.5455,1.0
swin,case4_mixed,original,svd,Folds_Mean ± SD,0.7776 ± 0.0479,0.5933 ± 0.0480,0.7072 ± 0.0270,0.5535 ± 0.0281,0.9800 ± 0.0183
swin,case4_mixed,instagram,pika,Fold_1,0.7167,0.6167,0.7229,0.566,1.0
swin,case4_mixed,instagram,pika,Fold_2,0.7644,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,instagram,pika,Fold_3,0.7956,0.55,0.6897,0.5263,1.0
swin,case4_mixed,instagram,pika,Fold_4,0.9078,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,instagram,pika,Fold_5,0.8678,0.6,0.7143,0.5556,1.0
swin,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.8644,0.55,0.6824,0.5273,0.9667
swin,case4_mixed,instagram,pika,Folds_Mean ± SD,0.8104 ± 0.0773,0.6000 ± 0.0289,0.7118 ± 0.0128,0.5570 ± 0.0180,0.9867 ± 0.0183
swin,case4_mixed,instagram,runway,Fold_1,0.5144,0.55,0.6582,0.5306,0.8667
swin,case4_mixed,instagram,runway,Fold_2,0.6533,0.6,0.7,0.56,0.9333
swin,case4_mixed,instagram,runway,Fold_3,0.7811,0.55,0.6897,0.5263,1.0
swin,case4_mixed,instagram,runway,Fold_4,0.8378,0.6,0.7,0.56,0.9333
swin,case4_mixed,instagram,runway,Fold_5,0.7156,0.5833,0.6988,0.5472,0.9667
swin,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.7378,0.5667,0.6977,0.5357,1.0
swin,case4_mixed,instagram,runway,Folds_Mean ± SD,0.7004 ± 0.1249,0.5767 ± 0.0253,0.6893 ± 0.0179,0.5448 ± 0.0159,0.9400 ± 0.0494
swin,case4_mixed,instagram,svd,Fold_1,0.75,0.6167,0.7229,0.566,1.0
swin,case4_mixed,instagram,svd,Fold_2,0.8311,0.6333,0.7317,0.5769,1.0
swin,case4_mixed,instagram,svd,Fold_3,0.7378,0.5333,0.6744,0.5179,0.9667
swin,case4_mixed,instagram,svd,Fold_4,0.8433,0.6333,0.7317,0.5769,1.0
swin,case4_mixed,instagram,svd,Fold_5,0.7956,0.5833,0.6988,0.5472,0.9667
swin,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.8256,0.5667,0.6977,0.5357,1.0
swin,case4_mixed,instagram,svd,Folds_Mean ± SD,0.7916 ± 0.0471,0.6000 ± 0.0425,0.7119 ± 0.0249,0.5570 ± 0.0250,0.9867 ± 0.0183
swin,case4_mixed,kakao_normal,pika,Fold_1,0.7167,0.5833,0.7059,0.5455,1.0
swin,case4_mixed,kakao_normal,pika,Fold_2,0.7556,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,kakao_normal,pika,Fold_3,0.7867,0.5167,0.6667,0.5088,0.9667
swin,case4_mixed,kakao_normal,pika,Fold_4,0.9111,0.5833,0.6988,0.5472,0.9667
swin,case4_mixed,kakao_normal,pika,Fold_5,0.8656,0.6,0.7143,0.5556,1.0
swin,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8633,0.55,0.6824,0.5273,0.9667
swin,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.8071 ± 0.0798,0.5800 ± 0.0380,0.7003 ± 0.0201,0.5451 ± 0.0223,0.9800 ± 0.0183
swin,case4_mixed,kakao_normal,runway,Fold_1,0.5178,0.5167,0.642,0.5098,0.8667
swin,case4_mixed,kakao_normal,runway,Fold_2,0.6567,0.6,0.7,0.56,0.9333
swin,case4_mixed,kakao_normal,runway,Fold_3,0.7789,0.5333,0.6818,0.5172,1.0
swin,case4_mixed,kakao_normal,runway,Fold_4,0.8589,0.5667,0.6829,0.5385,0.9333
swin,case4_mixed,kakao_normal,runway,Fold_5,0.7156,0.5667,0.6829,0.5385,0.9333
swin,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.7511,0.5667,0.6977,0.5357,1.0
swin,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.7056 ± 0.1291,0.5567 ± 0.0325,0.6779 ± 0.0215,0.5328 ± 0.0198,0.9333 ± 0.0471
swin,case4_mixed,kakao_normal,svd,Fold_1,0.7483,0.5833,0.7059,0.5455,1.0
swin,case4_mixed,kakao_normal,svd,Fold_2,0.8378,0.6333,0.7317,0.5769,1.0
swin,case4_mixed,kakao_normal,svd,Fold_3,0.7211,0.5167,0.6667,0.5088,0.9667
swin,case4_mixed,kakao_normal,svd,Fold_4,0.8467,0.6,0.7143,0.5556,1.0
swin,case4_mixed,kakao_normal,svd,Fold_5,0.8,0.5833,0.6988,0.5472,0.9667
swin,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.8189,0.5667,0.6977,0.5357,1.0
swin,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.7908 ± 0.0549,0.5833 ± 0.0425,0.7035 ± 0.0240,0.5468 ± 0.0247,0.9867 ± 0.0183
swin,case4_mixed,kakao_high,pika,Fold_1,0.7339,0.6,0.7143,0.5556,1.0
swin,case4_mixed,kakao_high,pika,Fold_2,0.7722,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,kakao_high,pika,Fold_3,0.7944,0.5167,0.6667,0.5088,0.9667
swin,case4_mixed,kakao_high,pika,Fold_4,0.9167,0.6333,0.725,0.58,0.9667
swin,case4_mixed,kakao_high,pika,Fold_5,0.8667,0.6333,0.7317,0.5769,1.0
swin,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.8711,0.5667,0.6905,0.537,0.9667
swin,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.8168 ± 0.0739,0.6000 ± 0.0486,0.7107 ± 0.0256,0.5580 ± 0.0291,0.9800 ± 0.0183
swin,case4_mixed,kakao_high,runway,Fold_1,0.5478,0.5333,0.65,0.52,0.8667
swin,case4_mixed,kakao_high,runway,Fold_2,0.6578,0.6,0.7,0.56,0.9333
swin,case4_mixed,kakao_high,runway,Fold_3,0.8028,0.5333,0.6818,0.5172,1.0
swin,case4_mixed,kakao_high,runway,Fold_4,0.8644,0.6167,0.7089,0.5714,0.9333
swin,case4_mixed,kakao_high,runway,Fold_5,0.7244,0.6,0.7,0.56,0.9333
swin,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.7567,0.5833,0.7059,0.5455,1.0
swin,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.7194 ± 0.1238,0.5767 ± 0.0401,0.6881 ± 0.0235,0.5457 ± 0.0252,0.9333 ± 0.0471
swin,case4_mixed,kakao_high,svd,Fold_1,0.7444,0.5833,0.6988,0.5472,0.9667
swin,case4_mixed,kakao_high,svd,Fold_2,0.8089,0.6333,0.7317,0.5769,1.0
swin,case4_mixed,kakao_high,svd,Fold_3,0.7278,0.5167,0.6667,0.5088,0.9667
swin,case4_mixed,kakao_high,svd,Fold_4,0.8356,0.65,0.7407,0.5882,1.0
swin,case4_mixed,kakao_high,svd,Fold_5,0.7933,0.6167,0.716,0.5686,0.9667
swin,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.8233,0.5833,0.7059,0.5455,1.0
