Index,Platform,Orig_Res,Dist_Res,FPS_Diff,Codec,Box_Sequence,Est_CRF,Blockiness,Bitrate_Loss(%)
S12,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,32.9,1.2043,82.1
S12,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,20.87,1.0876,28.2
S12,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,19.83,1.0852,19.0
S13,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,54.16,1.0507,98.5
S13,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,39.76,1.6536,91.9
S13,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,28.72,1.3619,71.0
S13,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,24.72,1.1795,54.0
S14,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,41.21,1.049,93.2
S14,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,32.47,1.194,81.2
S14,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,18.9,1.1059,9.9
S14,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,19.59,1.0798,16.7
S15,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,51.08,1.05,97.8
S15,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,32.94,1.1678,82.2
S15,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,19.56,1.0765,16.5
S15,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,19.97,1.0736,20.3
S16,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,49.28,1.0463,97.3
S16,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,35.38,1.3148,86.6
S16,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,19.95,1.1887,20.2
S16,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,20.81,1.0937,27.7
S17,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,51.04,1.11,97.8
S17,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,32.72,1.1367,81.7
S17,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,20.71,1.1456,26.9
S17,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,20.75,1.0795,27.2
S18,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,47.25,1.802,96.6
S18,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,34.44,1.443,85.0
S18,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,21.1,1.2472,30.1
S18,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,21.26,1.1109,31.4
S19,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,47.11,1.5416,96.5
S19,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,38.81,2.2716,91.0
S19,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,21.1,1.4817,30.1
S19,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,22.84,1.7057,42.8
S20,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,42.79,1.0658,94.3
S20,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,37.48,1.7924,89.5
S20,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,20.38,1.4902,24.1
S20,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,21.61,1.4086,34.1
S21,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,41.86,1.0978,93.6
S21,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,32.99,1.2403,82.3
S21,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,19.02,1.1688,11.1
S21,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,20.17,1.0914,22.2
S22,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,36.97,1.0751,88.8
S22,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,34.77,1.3126,85.6
S22,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,19.82,1.1324,19.0
S22,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,20.98,1.0873,29.1
S23,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,59.37,1.2387,99.2
S23,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,36.55,1.2848,88.3
S23,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,25.57,1.232,58.3
S23,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,23.1,1.2468,44.5
S24,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,31.51,1.5903,79.0
S24,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,34.56,1.5463,85.2
S24,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,19.06,1.4368,11.6
S24,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,21.2,1.2216,30.9
S25,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,47.3,1.3533,96.6
S25,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,38.3,1.6922,90.4
S25,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,23.45,1.3938,46.7
S25,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,21.37,1.1988,32.2
S26,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,44.91,1.061,95.5
S26,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,35.88,1.2828,87.3
S26,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,26.82,1.1717,63.9
S26,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,24.1,1.1248,50.6
S27,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,44.04,1.2691,95.1
S27,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,34.41,1.4915,85.0
S27,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,29.95,1.406,74.9
S27,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,26.43,1.2122,62.2
S28,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,46.05,1.1194,96.1
S28,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,35.51,1.3281,86.8
S28,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,28.35,1.1509,69.8
S28,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,24.88,1.0982,54.8
S29,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,41.61,1.1037,93.5
S29,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,32.71,1.1424,81.7
S29,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,27.1,1.1563,65.1
S29,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,23.66,1.1118,48.0
S30,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,43.37,1.0568,94.7
S30,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,33.92,1.1877,84.1
S30,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,26.06,1.1017,60.6
S30,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,22.64,1.0933,41.5
