Model,Dataset,LR,BatchSize,Optimizer,Avg_AUC,Fold_Scores
convnextv2_tiny,mixed,0.0001,4,adamw,0.5156784696784696,"[0.5056980056980056, 0.51994301994302, 0.5370370370370371, 0.5357142857142857, 0.4799999999999999]"
convnextv2_tiny,mixed,0.0001,4,adam,0.4736931216931217,"[0.4301994301994302, 0.5099715099715099, 0.3746438746438747, 0.5114285714285715, 0.5422222222222223]"
convnextv2_tiny,mixed,0.0001,8,adamw,0.5351599511599512,"[0.5028490028490028, 0.5313390313390314, 0.584045584045584, 0.5657142857142857, 0.4918518518518519]"
convnextv2_tiny,mixed,0.0001,8,adam,0.5027073667073667,"[0.5427350427350428, 0.5356125356125355, 0.38746438746438755, 0.6314285714285715, 0.4162962962962963]"
convnextv2_tiny,mixed,5e-05,4,adamw,0.49865852665852667,"[0.5683760683760684, 0.49572649572649563, 0.37606837606837606, 0.5257142857142857, 0.5274074074074074]"
convnextv2_tiny,mixed,5e-05,4,adam,0.4451241351241351,"[0.5014245014245013, 0.45441595441595434, 0.41025641025641024, 0.47285714285714286, 0.3866666666666666]"
convnextv2_tiny,mixed,5e-05,8,adamw,0.48105168905168905,"[0.5356125356125356, 0.621082621082621, 0.42877492877492884, 0.38571428571428573, 0.434074074074074]"
convnextv2_tiny,mixed,5e-05,8,adam,0.5146813186813187,"[0.6452991452991453, 0.4943019943019943, 0.51994301994302, 0.44571428571428573, 0.46814814814814815]"
convnextv2_tiny,mixed,1e-05,4,adamw,0.480979242979243,"[0.49287749287749283, 0.5028490028490029, 0.5313390313390314, 0.45857142857142863, 0.4192592592592592]"
convnextv2_tiny,mixed,1e-05,4,adam,0.38564672364672364,"[0.44729344729344733, 0.329059829059829, 0.3418803418803419, 0.33, 0.48000000000000004]"
convnextv2_tiny,mixed,1e-05,8,adamw,0.4308799348799349,"[0.3846153846153847, 0.45014245014245013, 0.47720797720797725, 0.4942857142857143, 0.3481481481481481]"
convnextv2_tiny,mixed,1e-05,8,adam,0.4097688237688238,"[0.48005698005698, 0.40028490028490027, 0.37606837606837606, 0.40428571428571425, 0.38814814814814813]"
